brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,RAM_GB,battery_mAh,primary_camera_MP
Acer,Iconia Talk S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800),HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016  August,Available. Released 2016  October,191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260,9.17,Dual SIM (Micro-SIM/Nano-SIM),IPS LCD capacitive touchscreen  16M colors,7.0 inches (~69.8% screen-to-body ratio),720 x 1280 pixels (~210 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT8735,Mali-T720MP2,microSD  up to 128 GB (dedicated slot),16/32 GB,2 GB RAM,13 MP| autofocus,2 MP| 720p,Yes,Yes,Wi-Fi 802.11 a/b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS GLONASS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),Black,170,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg,2,3400,13
Acer,Liquid Z6 Plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016  August,Available. Released 2016  December,153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169,5.96,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.7% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0 (Marshmallow),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| proximity,Removable Li-Po 4080 mAh battery,Black| White,250,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg,3,4080,13
Acer,Liquid X2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 - Europe| Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  April,Available. Released 2016  February,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166,5.86,Triple SIM (Micro-SIM),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~69.0% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP4,microSD  up to 32 GB (dedicated slot),32 GB,3 GB RAM,13 MP| f/1.8| autofocus| LED flash| ,13 MP| f/1.8| autofocus| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Po 4020 mAh battery,Black| Gold,230,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,3,4020,13
Acer,Liquid Zest,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016  February,Available. Released 2016  April,145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),125,4.41,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.4% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz - Z525,Mediatek MT6580 - Z525,Mali-400MP2 - Z525,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| f/2.0| autofocus| LED flash,5 MP,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 2000 mAh battery,Black| White,110,http://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg,1,2000,8
Acer,Predator 8,No cellular connectivity, N/A,Not Available,Not Available,Not Available,No,No,2015  September,Available. Released 2015  November,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8,12.49,No,IPS LCD capacitive touchscreen  16M colors,8.0 inches (~67.1% screen-to-body ratio),1920 x 1200 pixels (~283 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.6 GHz,Intel Atom x7-Z8700,Not Available,microSD  up to 256 GB (dedicated slot),32/64 GB,2 GB RAM,5 MP,2 MP,Yes with stereo speakers (4 speakers),Yes,Wi-Fi 802.11 a/b/g/n,4.0| A2DP| LE,Not Available,Not Available,No,microUSB 2.0,Yes,Non-removable Li-Po 4420 mAh battery,Black/Silver,350,http://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg,2,4420,5
Acer,Liquid Jade Primo,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2015  September,Available. Released 2016  April,156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150,5.29,Dual SIM (Nano-SIM| dual stand-by),AMOLED capacitive touchscreen  16M colors,5.5 inches (~70.2% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Microsoft Windows 10,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Qualcomm MSM8992 Snapdragon 808,Adreno 418,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,21 MP| f/2.2| autofocus| dual-LED flash| ,8 MP| f/2.2| 1080p@30fps,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| WiFi Direct| hotspot,4.0| A2DP| LE| EDR,Yes with A-GPS,Not Available,FM radio,3.1| Type-C 1.0 reversible connector,Accelerometer| gyro| proximity| compass,Non-removable Li-Po 2870 mAh battery,Black,220,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg,3,2870,21
Acer,Liquid Z330,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE,HSPA  LTE,Yes,Yes,2015  September,Available. Released 2015  October,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142,5.01,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Mystic Black| Pure White,110,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,1,2000,5
Acer,Liquid Z320,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA,Not Available,HSPA 42.2/5.76 Mbps,Yes,Yes,2015  September,Available. Released 2015  November,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142,5.01,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Po 2000 mAh battery,Pure White,90,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg,1,2000,5
Acer,Liquid Z630,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE,HSPA  LTE,Yes,Yes,2015  September,Available. Released 2015  September,156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165,5.82,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0| USB On-The-Go,Accelerometer| proximity| compass,Removable Li-Ion 4000 mAh battery,Black,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,1,4000,8
Acer,Liquid Z530,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA, LTE,HSPA  LTE,Yes,Yes,2015  September,Available. Released 2015  October,144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),145,5.11,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2420 mAh battery,Black| White,150,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg,1,2420,8
Acer,Iconia Tab 10 A3-A30,No cellular connectivity, N/A,Not Available,Not Available,Not Available,No,No,2015  April,Available. Released 2015  June,260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),540,1.19,No,LED-backlit IPS LCD capacitive touchscreen  16M colors,10.1 inches (~64.6% screen-to-body ratio),1920 x 1200 pixels (~224 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.33 GHz,Intel Atom Z3735F,Not Available,microSD  up to 256 GB (dedicated slot),16/32/64 GB,2 GB RAM,5 MP,2 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| hotspot,4.0| A2DP,A-GPS only,Yes,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 5910 mAh battery (22 Wh),Various,250,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png,2,5910,5
Acer,Iconia One 8 B1-820,No cellular connectivity, N/A,Not Available,Not Available,Not Available,No,No,2015  April,Available. Released 2015  May,213.9 x 127.7 x 9.5 mm (8.42 x 5.03 x 0.37 in),355,12.52,No,IPS LCD capacitive touchscreen,8.0 inches (~67.9% screen-to-body ratio),800 x 1280 pixels (~189 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.33 GHz,Intel Atom Z3735G,Not Available,microSD  up to 32 GB (dedicated slot),16/32 GB,1 GB RAM,5 MP,VGA,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,4.0| A2DP,Yes with A-GPS GLONASS,Not Available,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 4550 mAh battery (17.2 Wh),Various,180,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg,1,4550,5
Acer,Iconia Tab A3-A20,No cellular connectivity, N/A,Not Available,Not Available,Not Available,No,No,2014  October,Available. Released 2014  October,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508,1.12,No,LED-backlit IPS LCD capacitive touchscreen  16M colors,10.1 inches (~67.8% screen-to-body ratio),1280 x 800 pixels (~149 ppi pixel density),Android 4.4 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT8127,Mali-450MP4,microSD  up to 256 GB (dedicated slot),16 GB,1 GB RAM,5 MP| autofocus,2 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,A-GPS only,Not Available,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY),Black| White,190,http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,1,5910,5
Acer,Iconia Tab A3-A20FHD,No cellular connectivity, N/A,Not Available,Not Available,Not Available,No,No,2014  October,Available. Released 2014  October,256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in),508,1.12,No,LED-backlit IPS LCD capacitive touchscreen  16M colors,10.1 inches (~67.8% screen-to-body ratio),1920 x 1200 pixels (~224 ppi pixel density),Android 4.4 (KitKat),Quad-core 1.5 GHz Cortex-A7,Mediatek MT8127,Mali-450MP4,microSD  up to 256 GB (dedicated slot),32 GB,2 GB RAM,5 MP| autofocus,2 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,A-GPS only,Not Available,No,microUSB 2.0,Accelerometer,Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX),Black| White,230,http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg,2,5910,5
Acer,Liquid Jade Z,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800),HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  March,Available. Released 2015  April,143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in),110,3.88,Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.0 (Lollipop),Quad-core 1.5 GHz Cortex-A53,Mediatek MT6732,Mali-T760MP2,microSD  up to 32 GB (uses SIM 2 slot),8 GB,1 GB RAM - Liquid Jade Z,13 MP| f/1.8| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| EDR,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| gyro| proximity| compass,Non-removable Li-Po 2300 mAh battery,Black| White,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg,1,2300,13
Acer,Liquid Z520,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,Not Available,HSPA,Yes,Yes,2015  March,Available. Released 2015  April,154 x 86 x 6.4 mm (6.06 x 3.39 x 0.25 in),118,4.16,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),TFT capacitive touchscreen,5.0 inches (~57.1% screen-to-body ratio),480 x 854 pixels (~187 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Po 2000 mAh battery,Black| White,130,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg,1,2000,8
Acer,Liquid Z220,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,Not Available,HSPA,Yes,Yes,2015  March,Available. Released 2015  April,125.3 x 64 x 9.6 mm (4.93 x 2.52 x 0.38 in),120,4.23,Single SIM (Mini-SIM) or Dual SIM (Mini-SIM/Micro-SIM| dual stand-by),Capacitive touchscreen,4.0 inches (~56.8% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 5.0 (Lollipop),Dual-core 1.2 GHz Cortex-A7,Qualcomm Snapdragon 200,Adreno 302,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1300 mAh battery,Black| White,90,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg,1,1300,5
Acer,Liquid Z410,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2015  January,Available. Released 2015  February,136 x 66.7 x 9.9 mm (5.35 x 2.63 x 0.39 in),145,5.11,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~61.5% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.4.4 (KitKat),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6732M,Mali-T760MP2,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes dual speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Po 2000 mAh battery,Black,130,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z410.jpg,1,2000,5
Acer,Liquid Jade S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 8(900)| 28(700) - Taiwan,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014  December,Available. Released 2014  December,143 x 69 x 7.8 mm (5.63 x 2.72 x 0.31 in),116,4.09,Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~69.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to 5.1 (Lollipop),Octa-core 1.5 GHz Cortex-A53,Mediatek MT6752M,Mali-T760MP2,microSD  up to 32 GB (uses SIM 2 slot),16 GB,2 GB RAM,13 MP| f/1.8| autofocus| LED flash| ,5 MP| f/2.2,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| EDR,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Non-removable Li-Ion 2300 mAh battery,Black| White| Red| Pink,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg,2,2300,13
Acer,Liquid Z500,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,Not Available,HSPA,Yes,Yes,2014  September,Available. Released 2014  Septeber,145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in),150,5.29,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| EDR,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2000 mAh battery,Aquamarine Green| Sandy Silver| Titanium Black,150,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg,1,2000,8
Acer,Liquid X1,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,LTE band 3(1800)| 7(2600),HSPA  LTE,Yes,Yes,2014  June,Available. Released 2014  September,153.3 x 80.4 x 8.5 mm (6.04 x 3.17 x 0.33 in),164,5.78,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.7 inches (~72.7% screen-to-body ratio),720 x 1280 pixels (~258 ppi pixel density),Android 4.4.2 (KitKat),Octa-core 1.7 GHz Cortex-A7,Mediatek MT6592,Mali-450MP4,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 2700 mAh battery,Graphite black| Wine red,260,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x1.jpg,2,2700,13
Acer,Liquid Jade,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,Not Available,HSPA,Yes,Yes,2014  June,Available. Released 2014  July,140.5 x 69 x 7.5 mm (5.53 x 2.72 x 0.30 in),110,3.88,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~71.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (uses SIM 2 slot),8 GB,1 GB RAM - Liquid Jade,13 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Non-removable Li-Ion 2100 mAh battery,Black| White| Green| Pink| Gray,180,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg,1,2100,13
Acer,Liquid E700,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 & SIM 3,HSDPA 850 / 900 / 1900 / 2100 ,Not Available,HSPA,Yes,Yes,2014  June,Available. Released 2014  August,147.3 x 73 x 9.9 mm (5.80 x 2.87 x 0.39 in),155,5.47,Triple SIM (Micro-SIM),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM or 4 GB| 1 GB RAM,8 MP| autofocus| LED flash,2 MP| LED flash,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 3500 mAh battery,Titan Black| Burgundy Red,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg,2,3500,8
Acer,Liquid E600,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 20(800),HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014  June,Available. Released 2014  September,147 x 72 x 9.5 mm (5.79 x 2.83 x 0.37 in),155,5.47,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.1% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP or VGA,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,Not Available,To be confirmed,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2500 mAh battery,Black| Green| Dark red,200,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg,1,2500,8
Acer,Iconia Tab 8 A1-840FHD,No cellular connectivity, N/A,Not Available,Not Available,Not Available,No,No,2014  June,Available. Released 2014  September,215 x 130 x 8.5 mm (8.46 x 5.12 x 0.33 in),360,12.7,No,IPS LCD capacitive touchscreen  16M colors,8.0 inches (~66.4% screen-to-body ratio),1200 x 1920 pixels (~283 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.86 GHz,Intel Atom Z3745,Intel Gen 7 (Ivy Bridge),microSD  up to 32 GB (dedicated slot),16/32 GB,2 GB RAM,5 MP,2 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band,4.0| A2DP,Yes GLONASS,Not Available,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion 4600 mAh battery,Silver,200,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg,2,4600,5
Acer,Iconia Tab 7 A1-713,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,Not Available,HSPA,Yes,Yes,2014  April,Available. Released 2014  August,8.9 mm thickness,298,10.51,Yes,TFT capacitive touchscreen,7.0 inches (~64.5% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat),Quad-core,Not Available,Not Available,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,2 MP,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,Yes,Not Available,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion battery,Black,110,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,1,2600,2
Acer,Iconia Tab 7 A1-713HD,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 N/A, HSDPA,Not Available,HSPA,Yes,Yes,2014  April,Available. Released 2014  August,8.9 mm thickness,298,10.51,Yes,IPS LCD capacitive touchscreen,7.0 inches (~66.4% screen-to-body ratio),800 x 1280 pixels (~216 ppi pixel density),Android 4.4.2 (KitKat),Quad-core,Not Available,Not Available,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,5 MP,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,Yes,Not Available,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion battery,Black,150,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg,1,2600,5
