brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,RAM_GB,battery_mAh,primary_camera_MP
LG,K20 plus,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 - T-Mobile & MetroPCS,LTE band 2(1900)| 4(1700/2100)| 5(850)| 12(700) - T-Mobile & MetroPCS,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps  EV-DO Rev.A 3.1 Mbps,Yes,Yes,2016  December,Available. Released 2016  December,148.6 x 75.2 x 7.9 mm (5.85 x 2.96 x 0.31 in),140,4.94,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,5.3 inches (~69.3% screen-to-body ratio),720 x 1280 pixels (~277 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Qualcomm MSM8917 Snapdragon 425,Adreno 308,microSD  up to 256 GB,16 GB(VS501) /32 GB,2 GB RAM,13 MP| f/2.2| autofocus| LED flash,5 MP| f/2.4| 1.12 µm pixel size| 1080p,Yes,Yes,Wi-Fi 802.11 a/b/g/n| Wi-Fi Direct| hotspot,4.2| A2DP| LE,Yes with A-GPS S-GPS,Not Available,No,microUSB 2.0,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Removable Li-Ion 2700 mAh battery,Black,160,http://cdn2.gsmarena.com/vv/bigpic/lg-k20-plus.jpg,2,2700,13
LG,K10 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - Europe,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 20(800) - Europe,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2016  December,Available. Released 2017  February,148.7 x 75.3 x 7.9 mm (5.85 x 2.96 x 0.31 in),144,5.08,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.3 inches (~69.2% screen-to-body ratio),720 x 1280 pixels (~277 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.5 GHz Cortex-A53,Mediatek MT6750,Mali-T860MP2,microSD  up to 64 GB,16 GB,2 GB RAM,13 MP| f/2.2| autofocus| LED flash,5 MP| f/2.4| 1.12 µm pixel size| 1080p,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.2(Europe)/4.1(India)| A2DP| LE,Yes with A-GPS GLONASS,Yes,FM radio| RDS| recording,microUSB 2.0| USB On-The-Go,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Removable Li-Ion 2800 mAh battery,Black| Gold| Titan,210,http://cdn2.gsmarena.com/vv/bigpic/lg-k10-2017.jpg,2,2800,13
LG,K8 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 2100 ,LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016  December,Available. Released 2017  April,144.5 x 72.1 x 8 mm (5.69 x 2.84 x 0.31 in),144,5.08,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.6% screen-to-body ratio),720 x 1280 pixels (~293 ppi pixel density),Android 7.0 (Nougat),Quad-core 1.4 GHz Cortex-A53,Qualcomm MSM8917 Snapdragon 425,Adreno 308,microSD  up to 32 GB,16 GB,1.5 GB RAM,13 MP| f/2.2| autofocus| LED flash,"5 MP| f/2.4| 1/5"" sensor size| 1.12 µm pixel size| 1080p",Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes,FM radio| RDS,microUSB 2.0| USB On-The-Go,Accelerometer| proximity,Removable Li-Ion 2500 mAh battery,Silver| Titan| Gold| Dark Blue,160,http://cdn2.gsmarena.com/vv/bigpic/lg-k8-2017.jpg,1,2500,13
LG,K4 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 20(800),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016  December,Available. Released 2017  March,144.7 x 72.6 x 7.9 mm (5.70 x 2.86 x 0.31 in),138,4.87,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.3% screen-to-body ratio),480 x 854 pixels (~195 ppi pixel density),Android 6.0.1 (Marshmallow),Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD  up to 32 GB (dedicated slot),8 GB/ 16 GB (AT&T,Cricket)| 1 GB RAM,5 MP| f/2.6| autofocus| LED flash,5 MP| f/2.7| 720p,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.1| A2DP| LE,Yes with A-GPS GLONASS,Not Available,FM radio| RDS,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2500 mAh battery,Black| Titan,120,http://cdn2.gsmarena.com/vv/bigpic/lg-k4-2017.jpg,1,2500,5
LG,K3 (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA  LTE,Yes,Yes,2016  December,Available. Released 2017  April,133.9 x 69.8 x 9.5 mm (5.27 x 2.75 x 0.37 in),132,4.66,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~59.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 6.0.1 (Marshmallow),Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.1| A2DP| LE,Yes with A-GPS GLONASS,Not Available,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 2100 mAh battery,Black,100,http://cdn2.gsmarena.com/vv/bigpic/lg-k3-2017.jpg,1,2100,5
LG,G Pad III 10.1 FHD,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA, LTE,HSPA 42.2/5.76 Mbps  LTE,Yes,Yes,2016  December,Available. Released 2016  December,256.2 x 167.9 x 6.7 mm (10.09 x 6.61 x 0.26 in),510,1.12,Mini-SIM,IPS LCD capacitive touchscreen  16M colors,10.1 inches (~68.8% screen-to-body ratio),1200 x 1920 pixels (~224 ppi pixel density),Android 6.0.1 (Marshmallow),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8952 Snapdragon 617,Adreno 405,microSD  up to 256 GB (dedicated slot),32 GB,2 GB RAM,5 MP| autofocus,5 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| WiFi Direct| hotspot,4.2| A2DP| LE,Yes with A-GPS,Not Available,No,Type-C 1.0 reversible connector,Accelerometer,Non-removable 6000 mAh battery,Black,340,http://cdn2.gsmarena.com/vv/bigpic/lg-g-pad-iii-8.0-fhd.jpg,2,6000,5
LG,V20,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 17(700)| 20(800)| 26(850)| 28(700)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A Cat6  Cat9 (3CA) or LTE-A Cat12 (3CA) 600/150 Mbps,Class 33,Class 33,2016  September,Available. Released 2016  October,159.7 x 78.1 x 7.6 mm (6.29 x 3.07 x 0.30 in),174,6.14,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.7 inches (~72.4% screen-to-body ratio),1440 x 2560 pixels (~513 ppi pixel density),Android 7.0 (Nougat),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Adreno 530,microSD  up to 256 GB (dedicated slot),32/64 GB,4 GB RAM,Dual 16 MP (29mm| f/1.8) + 8 MP (12mm| f/2.4)| laser autofocus| OIS| LED flash| ,5 MP| f/1.9,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| DLNA| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,FM radio| RDS (market dependent),2.0| Type-C 1.0 reversible connector,Fingerprint (rear-mounted)| accelerometer| gyro| proximity| compass| color spectrum,Removable Li-Ion 3200 mAh battery,Titan| Silver| Pink,560,http://cdn2.gsmarena.com/vv/bigpic/lg-v20-ofic1.jpg,4,3200,16
LG,X Skin,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA  LTE,Yes,Yes,2016  July,Coming soon. Exp. release 2017  Q2,144.8 x 71.4 x 6.9 mm (5.70 x 2.81 x 0.27 in),122,4.3,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz,Not Available,Not Available,microSD  up to 32 GB (dedicated slot),16 GB,1.5 GB RAM,8 MP| autofocus| LED flash,5 MP| 1080p,Yes,Yes,Wi-Fi 802.11 b/g/n| WiFi Direct| hotspot,4.1| A2DP| LE,Yes with A-GPS GLONASS,Yes,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 2100 mAh battery,Gold| Titanium,180,http://cdn2.gsmarena.com/vv/bigpic/lg-x-skin.jpg,1,2100,8
LG,X5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA  LTE,Yes,Yes,2016  July,Coming soon. Exp. release 2017  Q2,151.6 x 76.9 x 7.2 mm (5.97 x 3.03 x 0.28 in),133,4.69,Yes,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.5% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz,Not Available,Not Available,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP| 1080p,Yes,Yes,Wi-Fi 802.11 b/g/n| WiFi Direct| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Yes,FM radio,Yes,Accelerometer| proximity| compass,Removable Li-Ion 2800 mAh battery,White| Indigo Black,160,http://cdn2.gsmarena.com/vv/bigpic/lg-x5.jpg,2,2800,13
LG,X max,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016  June,Available. Released 2016  December,151.6 x 76.9 x 7.2 mm (5.97 x 3.03 x 0.28 in),133,4.69,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.5% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 6.0.1 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD  up to 32 GB,Not Available,16 GB 1.5 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| WiFi Direct| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS,Not Available,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Ion 2800 mAh battery,Dark Blue,200,http://cdn2.gsmarena.com/vv/bigpic/lg-x-max.jpg,16,2800,13
